,first_purchase,shelf_price,pct_disc,pct_retail_disc,pct_coupon_disc,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_9,display_A,mailer_A,mailer_C,mailer_D,mailer_H,mailer_J,marital_status_A,marital_status_B,homeowner_Homeowner,homeowner_Probable Owner,homeowner_Probable Renter,homeowner_Renter,hhcomp_1 Adult Kids,hhcomp_2 Adults Kids,hhcomp_2 Adults No Kids,hhcomp_Single Female,hhcomp_Single Male,kid_category_1,kid_category_2,kid_category_3+,kid_category_None/Unknown,age_ordinal,income_ordinal,hhsize_ordinal,campaign_6.0,campaign_8.0,campaign_13.0,campaign_18.0,campaign_29.0,campaign_30.0,description_TypeA,description_TypeB,description_TypeC
71,True,0.4,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
72,True,0.4,0.15,0.15,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
73,True,0.4,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,1,0,0,0,1,0,0
74,True,0.3999999999999999,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
75,False,0.4,0.1625,0.1625,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
76,True,0.4,0.1625,0.1625,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
77,False,0.4,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
78,True,0.4,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,1,0,0,0,1,0,0
79,True,0.4,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,1,0,0,0,1,0,0
80,False,0.4,0.15,0.15,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
81,False,0.4,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
82,True,0.4,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
83,True,0.4,0.15,0.15,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
84,True,0.4,0.1625,0.1625,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
85,True,0.4,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,1,0,0,0,1,0,0
86,False,0.4,0.175,0.175,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
87,False,0.3999999999999999,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
88,True,0.4,0.175,0.175,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
89,True,0.4,0.175,0.175,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
90,True,0.4,0.1625,0.1625,-0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
