,first_purchase,shelf_price,pct_disc,pct_retail_disc,pct_coupon_disc,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_9,display_A,mailer_A,mailer_C,mailer_F,mailer_H,mailer_L,marital_status_A,marital_status_B,homeowner_Homeowner,homeowner_Probable Owner,homeowner_Probable Renter,homeowner_Renter,hhcomp_1 Adult Kids,hhcomp_2 Adults Kids,hhcomp_2 Adults No Kids,hhcomp_Single Female,hhcomp_Single Male,kid_category_1,kid_category_2,kid_category_3+,kid_category_None/Unknown,age_ordinal,income_ordinal,hhsize_ordinal,campaign_8.0,campaign_13.0,campaign_15.0,campaign_18.0,campaign_24.0,campaign_26.0,campaign_30.0,description_TypeA,description_TypeB,description_TypeC
67,True,8.99,0.1890989988876529,0.1890989988876529,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,0,0,0,0,0,0,0,0,0
69,True,4.39,0.0888382687927106,0.0888382687927107,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,62.0,1.0,0,0,0,0,0,0,0,0,0,0
70,False,0.39,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0
71,True,0.89,0.1123595505617977,0.1123595505617977,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0
72,False,0.39,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0
73,False,3.39,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
74,False,3.5900000000000003,0.4456824512534819,0.1671309192200556,0.2785515320334261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
75,False,3.5900000000000003,0.1671309192200557,0.1671309192200556,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
76,False,3.59,0.3036211699164345,0.3036211699164345,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
77,True,2.99,0.0334448160535117,0.0334448160535117,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
