,first_purchase,shelf_price,pct_disc,pct_retail_disc,pct_coupon_disc,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_9,display_A,mailer_A,mailer_C,mailer_D,mailer_F,mailer_H,mailer_J,mailer_L,marital_status_A,marital_status_B,homeowner_Homeowner,homeowner_Probable Owner,homeowner_Probable Renter,homeowner_Renter,hhcomp_1 Adult Kids,hhcomp_2 Adults Kids,hhcomp_2 Adults No Kids,hhcomp_Single Female,hhcomp_Single Male,kid_category_1,kid_category_2,kid_category_3+,kid_category_None/Unknown,age_ordinal,income_ordinal,hhsize_ordinal,campaign_8.0,campaign_13.0,campaign_18.0,campaign_25.0,campaign_26.0,campaign_30.0,description_TypeA,description_TypeB
45,False,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
46,False,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
47,False,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
48,True,1.79,0.100558659217877,0.100558659217877,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
49,False,1.79,0.100558659217877,0.100558659217877,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
50,False,1.79,0.100558659217877,0.100558659217877,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
51,True,2.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
52,False,2.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
53,True,2.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
54,False,2.5,0.3,0.3,-0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
55,True,4.69,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
56,False,4.69,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
57,False,4.69,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
58,True,1.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
59,True,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
60,False,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
61,False,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
62,False,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
63,True,3.19,0.2163009404388714,0.2163009404388714,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
64,True,1.49,0.3288590604026845,0.3288590604026845,-0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
65,True,1.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
66,True,1.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
67,True,2.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
68,True,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
69,False,1.79,0.1620111731843575,0.1620111731843575,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
70,True,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
71,True,1.79,0.1620111731843575,0.1620111731843575,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6.0,39.5,2.0,0,0,0,0,0,0,0,0
132,True,2.89,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
133,True,1.5,0.0,-0.0,-0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
134,True,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
135,True,2.19,0.7488584474885844,0.7488584474885844,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
136,True,1.04,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
137,True,4.99,0.501002004008016,0.501002004008016,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
138,False,1.59,0.3144654088050314,-0.0,0.3144654088050314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
139,True,1.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
140,True,1.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
141,False,1.0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
142,True,2.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
143,True,11.99,0.0,-0.0,-0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
144,True,5.39,0.0,-0.0,-0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
145,True,3.29,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
146,True,2.99,0.3344481605351171,0.334448160535117,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
147,False,2.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
148,False,2.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,62.0,2.0,0,0,0,0,0,0,0,0
149,True,1.79,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0
150,True,1.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0
151,True,2.5,0.5,0.5,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0
